nm	roscolux 5954
360	4%
365	4%
370	4%
375	4%
380	4%
385	3%
390	2%
395	2%
400	1%
405	1%
410	1%
415	1%
420	1%
425	1%
430	1%
435	1%
440	1%
445	1%
450	1%
455	1%
460	1%
465	2%
470	3%
475	4%
480	5%
485	15%
490	29%
495	44%
500	59%
505	70%
510	80%
515	90%
520	94%
525	92%
530	86%
535	76%
540	64%
545	51%
550	34%
555	17%
560	3%
565	3%
570	2%
575	2%
580	1%
585	0%
590	0%
595	0%
600	1%
605	1%
610	1%
615	1%
620	0%
625	0%
630	0%
635	0%
640	0%
645	0%
650	1%
655	1%
660	1%
665	1%
670	1%
675	1%
680	1%
685	1%
690	1%
695	1%
700	1%
705	1%
710	1%
715	2%
720	2%
725	3%
730	5%
735	6%
740	8%
