nm	roscolux 6500
360	25%
365	21%
370	18%
375	15%
380	11%
385	8%
390	5%
395	3%
400	1%
405	0%
410	0%
415	0%
420	0%
425	0%
430	0%
435	0%
440	0%
445	0%
450	0%
455	0%
460	0%
465	0%
470	0%
475	0%
480	0%
485	0%
490	0%
495	0%
500	0%
505	0%
510	0%
515	0%
520	0%
525	0%
530	0%
535	0%
540	0%
545	0%
550	0%
555	0%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	0%
600	1%
605	1%
610	1%
615	1%
620	3%
625	10%
630	18%
635	28%
640	40%
645	55%
650	70%
655	86%
660	95%
665	97%
670	96%
675	95%
680	94%
685	93%
690	92%
695	91%
700	90%
705	88%
710	85%
715	82%
720	81%
725	82%
730	83%
735	84%
740	84%
