nm	roscolux 27
360	66%
365	69%
370	71%
375	73%
380	75%
385	78%
390	81%
395	83%
400	85%
405	83%
410	80%
415	77%
420	75%
425	79%
430	83%
435	88%
440	89%
445	86%
450	80%
455	72%
460	62%
465	51%
470	37%
475	23%
480	11%
485	7%
490	5%
495	4%
500	2%
505	2%
510	2%
515	1%
520	1%
525	1%
530	1%
535	1%
540	1%
545	1%
550	1%
555	1%
560	0%
565	0%
570	0%
575	0%
580	0%
585	0%
590	0%
595	0%
600	0%
605	0%
610	0%
615	0%
620	0%
625	0%
630	0%
635	0%
640	0%
645	0%
650	0%
655	0%
660	0%
665	0%
670	0%
675	0%
680	0%
685	0%
690	0%
695	0%
700	1%
705	1%
710	2%
715	2%
720	2%
725	5%
730	9%
735	13%
740	17%
