nm	roscolux 389
360	4%
365	4%
370	4%
375	4%
380	4%
385	4%
390	3%
395	3%
400	2%
405	2%
410	1%
415	1%
420	0%
425	0%
430	0%
435	0%
440	0%
445	0%
450	0%
455	1%
460	3%
465	9%
470	20%
475	32%
480	45%
485	54%
490	63%
495	70%
500	77%
505	78%
510	77%
515	75%
520	72%
525	69%
530	65%
535	60%
540	55%
545	50%
550	44%
555	38%
560	32%
565	28%
570	24%
575	21%
580	18%
585	16%
590	14%
595	12%
600	11%
605	10%
610	9%
615	8%
620	7%
625	7%
630	7%
635	7%
640	7%
645	7%
650	7%
655	7%
660	7%
665	6%
670	6%
675	5%
680	5%
685	5%
690	6%
695	7%
700	7%
705	7%
710	7%
715	6%
720	6%
725	8%
730	9%
735	10%
740	11%
